match,home_team,away_team,start_time,market_name,player_name,player_team,opposition_team,line,over_price,prop_id,agency,original_roster_name
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,Q. Priester,NA,NA,5.5,2.6,781119,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,Q. Priester,NA,NA,6.5,4.25,781120,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,Q. Priester,NA,NA,7.5,7.5,781121,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,Q. Priester,NA,NA,8.5,13,781122,TAB,NA
Milwaukee Brewers v Chicago Cubs,Milwaukee Brewers,Chicago Cubs,2025-07-30 09:10:00,Pitcher Strikeouts,Q. Priester,NA,NA,9.5,34,781123,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,P. Ohl,NA,NA,2.5,1.38,781768,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,P. Ohl,NA,NA,3.5,1.75,781769,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,P. Ohl,NA,NA,4.5,2.7,781770,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,P. Ohl,NA,NA,5.5,4.5,781771,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,P. Ohl,NA,NA,6.5,8,781772,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,P. Ohl,NA,NA,7.5,17,781773,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,P. Ohl,NA,NA,8.5,41,781774,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,L. Giolito,NA,NA,2.5,1.09,781728,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,L. Giolito,NA,NA,3.5,1.28,781729,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,L. Giolito,NA,NA,4.5,1.55,781730,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,L. Giolito,NA,NA,5.5,2.05,781731,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,L. Giolito,NA,NA,6.5,3.1,781732,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,L. Giolito,NA,NA,7.5,4.75,781733,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,L. Giolito,NA,NA,8.5,9,781734,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,L. Giolito,NA,NA,9.5,19,781735,TAB,NA
Minnesota Twins v Boston Red Sox,Minnesota Twins,Boston Red Sox,2025-07-30 09:10:00,Pitcher Strikeouts,L. Giolito,NA,NA,10.5,41,781736,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Gray,NA,NA,2.5,1.07,781972,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Gray,NA,NA,3.5,1.24,781973,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Gray,NA,NA,4.5,1.5,781974,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Gray,NA,NA,5.5,1.95,781975,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Gray,NA,NA,6.5,2.8,781976,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Gray,NA,NA,7.5,4.5,781977,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Gray,NA,NA,8.5,7.5,781978,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Gray,NA,NA,9.5,15,781979,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Gray,NA,NA,10.5,34,781980,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Alcantara,NA,NA,2.5,1.25,781942,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Alcantara,NA,NA,3.5,1.62,781943,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Alcantara,NA,NA,4.5,2.25,781944,TAB,NA
St. Louis Cardinals v Miami Marlins,St. Louis Cardinals,Miami Marlins,2025-07-30 09:15:00,Pitcher Strikeouts,S. Alcantara,NA,NA,5.5,3.4,781945,TAB,NA
